id,text,valence,arousal,dominance,split,source
20020731-nyt_34768_34960,"Carl McCall, Army lieutenant, state senator, ambassador to the United Nations, school board president, Citibank vice president, and one of the most effective comptrollers in New York history.""",0.125,0.06,0.06,train,EmoBank
IntroDublin_6240_6470,"The beautiful Wicklow Mountains, and the Wicklow Mountains National Park provide a more rugged countryside, and the area has breathtaking houses and gardens such as Castletown, Mount Usher, and Powerscourt.",0.145,0.07,0.0,train,EmoBank
SemEval_1044,Foreign minister of Colombia quits in scandal,-0.25,0.05,-0.15,train,EmoBank
SemEval_979,Review: Nokia 5300 Xpress Music,0.05,-0.05,0.05,train,EmoBank
captured_moments_30624_30634,"""Do that,""",0.06,0.0,0.19,train,EmoBank
Anti-Terrorist_1902_1988,"But this claim is merely feel-good propaganda, intended to keep the neo-cons in power.",-0.05,0.1,0.0,train,EmoBank
Ant_Robot_18352_18473,"Two simultaneously operated motors will open and close the grippers, emulating the grasping power of the ant’s mandibles.",0.0,0.05,0.0,train,EmoBank
hotel-california_23704_23743,Sarah shrugged and sipped at her drink.,-0.1,-0.05,-0.05,train,EmoBank
Nathans_Bylichka_33330_33387,"“My parents came over from Russia, just like your family.",0.055,0.0,-0.055,train,EmoBank
Nathans_Bylichka_14074_14088,"“Oh, totally,”",0.06,0.0,0.0,train,EmoBank
cable_spool_fort_4221_4311,They all stood around while the doctor made Roy shake and jerk and moan with a sick sound.,-0.375,0.31,-0.125,train,EmoBank
wsj_0032_4_251,"Italian chemical giant Montedison S.p. A., through its Montedison Acquisition N.V. indirect unit, began its $37-a-share tender offer for all the common shares outstanding of Erbamont N.V., a maker of pharmaceuticals incorporated in the Netherlands",0.0,-0.1,0.05,train,EmoBank
hotel-california_28834_28854,"“I don't know much,”",-0.2,-0.1,-0.15,train,EmoBank
Fermentation_HR5034_1159_1406,"The recently launched www.hr5034.org website is the creation of the National Beer Wholesalers Association and and appears to be the repository all the misrepresentation, ignorance and misleading ideas supporters of H.R. 5034 could possibly muster.",-0.28,-0.055,0.11,train,EmoBank
117CWL008_145_299,"The 9th annual JCC Auction will benefit the numerous scholarship programs of the Jewish Community Center of Indianapolis, a United Way agency.",0.28,0.0,0.0,train,EmoBank
